link,Attraction_Title,Segmento,Attration_rate,Attration_evaluation,Name_of_contributor,Tittle_of_Contribution,Rate_of_contribution,Date_of_contribution,Contribution,Numbers_of_fotos,Attration_Excellent,Attration_Very_good,Attration_Average,Attration_Poor,Attration_Terrible,Reviews_user,Origin_of_contributor,Contributor_activity,Date_of_visit,Helpful_to,Reviews_rating,Reviews_title,Reviews_body,Who_is_asking,Where_the_asker_is_from,Asker_activity,Question,Aswer,Answer_activity,Answer_orign,Answer,Length_of_review,Grupo
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calazans_junior,"-3.79331445,-38.51961525",9,"June 20, 2016",0,4,Visita de final de semana,"Ótima praia com pessoas educadíssimas é super seguro. Indico pra casais, pois é um local com atrações muito românticos.",NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Felipe P,"-5.0937396,-42.74107815",6,"June 3, 2016",0,5,Paz e harmonia com uma vista calma e espetacular.,"É difícil falar sobre o bem estar que esta praia favorece... um ambiente bem  tranquilo , perfeita pra quem que pegar aquele SOL rsrs",NA,NA,NA,NA,NA,NA,NA,NA,24,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nanicas,"-34.61582375,-58.43329845",106,"May 8, 2016",0,5,Relax,"Una comunidad pequeña, playas amplias y limpias., Ideal para descansar y dar paseos por la playa, muy lindo",NA,NA,NA,NA,NA,NA,NA,NA,18,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lii_sssy,"-25.4951166,-49.2897982",69,"April 15, 2016",1,5,Tranquilidade,"Praia linda e limpa! Como dizem é o que Jericoacoara foi um dia, com uma vila pequena perto da praia, bem aconchegante, tudo para descansar! A praia é boa tb para prática de kite surf, então nessa época é só agito! Fora de temporada, (fui em março de 2015) é só tranquilidade! Ficamos na pousada do Capucho (casa do velejador), se nao ficar ao menos vá lá comer algo, oooo comida boa, feita pela esposa e com capricho!",NA,NA,NA,NA,NA,NA,NA,NA,78,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carla_alcantara,"-15.72176215,-47.93735785",23,"February 16, 2016",0,4,Relaxante,"Praia que na maré vazante forma piscinas naturais, uma maravilha para quem tem filhos pequenos. O vento é forte mas nesta época do ano não te açoita. Excelente para caminhar e ver o pôr do sol, catando conchinhas.",NA,NA,NA,NA,NA,NA,NA,NA,38,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Átila L,"-5.0937396,-42.74107815",44,"January 30, 2016",1,5,tranquilidade,"lugar paradisíaco pra quem está em busca de tranquilidade.ótima praia,mar e vistas muito legais.recomendo!",NA,NA,NA,NA,NA,NA,NA,NA,14,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,João Mançal,"-22.91413075,-43.44598205",275,"December 30, 2015",0,4,Uma bela vista,"Para os amantes de praia, nada diferente do tradicional. Porém, a tranquilidade do local é um dos pontos mais fortes. Além disso, a vista que o pôr-do-sol oferece é indescritível. Vale a visita!",NA,NA,NA,NA,NA,NA,NA,NA,33,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Durival M,"-23.19416775,-49.38550295",126,"October 6, 2015",0,4,Rota quente,"Local com acesso ao cajueiro Rei, o maior do mundo.  8210 mts quadrados. A praia fica repleta  de pescadores  e determinado horario o vento é muito forte.",NA,NA,NA,NA,NA,NA,NA,NA,27,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vanessa2015105,"-5.0937396,-42.74107815",5,"July 28, 2015",0,5,Excelente,"Lugar lindo!!! Vale a pena a visita!! Pôr-do-sol imperdível, pousadas estrutura de bares e restaurantes muito bons!!!",NA,NA,NA,NA,NA,NA,NA,NA,17,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emanuella L,NA,30,"July 14, 2015",0,5,Lindo lugar!,"Fui de Fortaleza a Barra Grande e a estrada do Piauí estava muito boa. O lugar é muito bonito, bom para praticantes de kite surf (a praia estava lotada deles).  As pousadas não sao muitas e as diarias estão um pouco acima do preço praticado no Ceará(p exemplo), o lugar é relativamente pequeno e com poucas opções de saída a noite, embora conte com restaurante de qualidade, como o La Cozinha.",NA,NA,NA,NA,NA,NA,NA,NA,71,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antonio m,"-27.57159545,-48.47027915",198,"June 30, 2015",1,4,botike resort,"No cajueiro da praia encontramos um resort chamado bobz botike resort, na frente da praia, com uma vista maravilhosa e um atendimento impecável, inclusive levando seu pedido na própria praia. O banho de mar é excelente assim como o por do sol. Vale a pena uma visita.",NA,NA,NA,NA,NA,NA,NA,NA,47,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leticia F,NA,112,"June 25, 2015",1,5,Tranquilidade e beleza natural,"Cajueiro da Praia - Barra Grande do Piauí  é uma praia maravilhosa, preservada, sem multidão de pessoas e descoberta pelos kitesurfistas de vários lugares do mundo. O litoral do Piauí é um Brasil que os brasileiros ainda não descobriram. Vale a pena conhecer o Piauí.!",NA,NA,NA,NA,NA,NA,NA,NA,45,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flavio N,"-2.5606322,-44.258122",76,"May 3, 2015",0,4,Conheça saia um pouco de BG,"Vá conhecer, pegue seu carro mas tem que ser 4x4, saia de barra grande e pegue uma rua atrás da igreja da praça, vá reto, você vai chegar numa estrada de paralelepípedo! Siga reto e conheça todas essas praias! Pode ir de carro normal mas não vá pela praia, pegue a estrada apenas",NA,NA,NA,NA,NA,NA,NA,NA,53,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luiz Henrique M,"-23.6824124,-46.5952992",14,"April 25, 2015",1,4,População local hospitaleira,"De fato, o cajueiro que batiza a praia existe e oferece uma sombra providencial diante do Sol que aquece a água do mar e compõe o aconchego do ambiente.",NA,NA,NA,NA,NA,NA,NA,NA,29,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Humberto Mogetti,"25.019361,-80.5172685",6,"April 22, 2015",0,5,Para a manhã e para a tarde,"Uma praia com dois momentos... Pela manhã com a maré baixa você faz um passeio espetacular pelas piscinas que se formam de água muito quente. A tarde, com o retomar da maré, você aproveita a praia calma. Que espetáculo de lugar!",NA,NA,NA,NA,NA,NA,NA,NA,41,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leticia F,NA,112,"February 19, 2015",2,5,Barra Grande do Piauí - PI,"Ótima praia, lindas paisagens, local ainda muito preservado e pouco turistificado, pousadas e restaurantes bons e preços justos.
A praia é point de kitesurf, vc encontra escolinhas, aluguéis de equipamentos e instrutores de kite surf e Stand UP.
Há opções de passeios para locais próximos (inclusive Delta do Parnaíba).
O local ainda não foi muito turistificado, portanto, não há multidões de pessoas e preços abusivos. Trata-se de um local tranquilo, preservado e acolhedor. A estrutura de serviços contempla pousadas e restaurantes de níveis variados e algumas lojinhas. Os comerciantes e empreendedores locais recebem os turistas muito bem.
Na alta temporada há shows a noite.",NA,NA,NA,NA,NA,NA,NA,NA,104,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rafaeloceanografo,"-3.79013735,-38.5189372",9,"December 25, 2014",2,5,Perfeita para o descanso,"Cajueiro da Praia é perfeita para quem procura um maior contato com a natureza sem a badalação das praias mais agitadas próximas. Localizada em Barra Grande, seu acesso fica por conta de um ônibus que sai de Parnaíba duas vezes ao dia, mas também pode ser contratado serviços de taxis para chegar até lá. A praia é encantadora, pois as ondas quebram bem longe da praia, e na maré baixa se formam piscinas naturais, cercadas de vida marinha como bolachas da praia e estrelas-do-mar. A água é calma e clara, mas deve-se tomar cuidado pois na região há recifes pedregogos.",NA,NA,NA,NA,NA,NA,NA,NA,100,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nathália C,NA,22,"November 13, 2014",0,4,Calmaria e contemplação,"A praia de Barra Grande é uma ótima opção para quem quer desligar do mundo, alugamos um chalé no final da praia e passamos quatro dias maravilhosos.
Os preços nos restaurantes da região são um pouco salgados, mas vale a pena conhecer.",NA,NA,NA,NA,NA,NA,NA,NA,42,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charles F,NA,6,"October 21, 2014",1,5,Magnífica,"Umas das praias mais belas que já vi, quem vai uma vez sempre quer voltar, muito limpa, refrescante, praia muito melhor do que de muitas capitais.",NA,NA,NA,NA,NA,NA,NA,NA,26,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ricardo0219,"-25.78105385,-48.51662665",26,"September 12, 2014",0,5,Atividades na natureza,A visita a estação do peixe boi é uma boa dica. É possível inclusive  agendar a observação deste mamífero.,NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruna V,"-5.0937396,-42.74107815",83,"September 6, 2014",0,5,Sem igual,"Praia linda! Os nativos são prestativos e atenciosos. O mar é calmo, quentinho e delicioso de se banhar, possui águas cristalinas! perfeitoo.",NA,NA,NA,NA,NA,NA,NA,NA,22,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adriana2701,"-15.72176215,-47.93735785",143,"August 30, 2014",0,4,Tranquilidade,"Esta praia é linda e muito tranquila. Tanto pelo mar calmo quanto pelo quantidade de visitantes, que é bem menor que a de Praia de Barra Grande. Mas a estrutura de bares no local também é bem mais limitada.
Há muitos pescadores no local, o que torna o cenário ainda mais bonito.
Não considero uma praia para ficar por muitas horas, mas pela beleza vale a visita e o banho de mar.",NA,NA,NA,NA,NA,NA,NA,NA,72,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucifreire,"-3.20815475,-52.20865175",385,"August 9, 2014",0,5,Praia Piauiense,"A praia está na divisa dos Estado do Piauí e do Ceará, com visual de coqueiros, cajueiros e barcos de pesca que caracterizam sua origem de vila de pescadores.",NA,NA,NA,NA,NA,NA,NA,NA,29,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MauroEstrela_,"-5.0937396,-42.74107815",75,"May 26, 2014",0,5,Paradise!,"Uma praia praticamente deserta, sem agito e badalação! No local apenas pescadores e nativos O visutal é lindo, incrível e tem um Projeto que cuida de Peixe Boi!",NA,NA,NA,NA,NA,NA,NA,NA,28,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samara_1808,"-5.0937396,-42.74107815",246,"November 23, 2013",1,5,Lugar cheio de paz...,"O melhor banho de mar de todos os tempos... A praia é linda, tranquila, deserta, limpa e paradisíaca! O acesso é fácil. Não tem muitas opções de bares e restaurantes, mas para quem curte a natureza, precisa conhecer um pouco do litoral do Piauí.",NA,NA,NA,NA,NA,NA,NA,NA,44,Promotor
NA,Cajueiro Da Praia Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patricia M,"-23.6824124,-46.5952992",210,"September 10, 2013",0,4,"Flutuação de ""Fraldão"": passeio refrescante e diferente","Passeio de flutuação com ""fraldão"" é feito no Rio que circunda Barra Grande, e permite que você acompanhe o curso do Rio de forma relaxante e refrescante.

Barra Grande, em Cajueiro da Praia, é uma vila dedicada à prática do Kitesurf, com média infraestrutura. Em baixa temporada, é possível conseguir hospedagem a preços bem convidativos, mas com poucas opções de restaurantes. Como é um local extremamente quente, prefira hospedagem com piscinas para se refrescar no final da tarde e à noite.",Diana r,"-3.79331445,-38.51961525",NA,"Desejamos ir a cajueiro da praia e Barra Grande, saindo de Fortaleza, passando por Viçosa do Ceará. 
Vejo que devemos ir até Chaval...necessito carro 4X4 para chegarmos nestes pontos?",Luciavale091,"-15.72176215,-47.93735785",312,"Não posso te responder.Fizemos o trajeto por Teresina. Vc vai amar .achei este lugar maravilhoso,tranquilo e especial.",81,Promotor
https://www.tripadvisor.com.br/Attraction_Review-g2053365-d2414963-Reviews-Delta_Rio_Parnaiba-Parnaiba_State_of_Piaui.html,Delta Rio Parnaíba,Ecoturismo,45,816,NA,NA,NA,NA,NA,NA,559,195,50,10,2,Alberto Dias,"-5.0937396,-42.74107815",124,Feita em 21 de novembro de 2022,0,5,Muito lindo.,"Neste passeio, ainda vemos que grande parte da natureza ainda se mantém inexplorada pelo homem e isso é muito bom. Neste passeio, tivemos o privilégio de ver a revoada dos guarás assim como jacarés. Muito legal.",NA,NA,NA,NA,NA,NA,NA,NA,36,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gislaine B,NA,101,Feita em 21 de outubro de 2022,0,5,Delta Safari Noturno,"Local extraordinário, superou as minhas expectativas.
Fiz o passeio de lancha no privativo individual no roteiro Rota das Emoções começando em Jeri e indo até os Lençóis Maranhenses.
Fiz o passeio com a revoada e depois o noturno (surreal).
O condutor da lancha Severino gente boa fizemos aposta o tempo inteiro de quem iria ver primeiro jacaré e cobra, e olha que eu ganhei dele que é nativo da região. KKKK",NA,NA,NA,NA,NA,NA,NA,NA,71,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donizete R,"-22.895222,-47.03103455",3,Feita em 20 de outubro de 2022,0,5,sensacional,"ótimo passeio, um lugar para ser vivenciado e experimentado... único! a equipe que nos atendeu foi sensacional",NA,NA,NA,NA,NA,NA,NA,NA,17,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lucianaraposo1,"-22.91413075,-43.44598205",175,Feita em 19 de setembro de 2022,0,5,EXCELENTE AGÊNCIA!!!,"Fizemos com essa agência não somente o passeio Revoada dos Guarás, como todos os transfers São Luíx x Santo Amaro x Barreirinhas x Parnaíba x Jericoacoara, e simplesmente foram perfeitos. Vinícius nos atendeu plenamente através de whats'App, compromisso e pontualidade se fizeram presentes em todos os transfers, e nada temos a falar da agência além de elogios e gratidão por nos proporcionar momentos inesquecíveis durante toda viagem.",NA,NA,NA,NA,NA,NA,NA,NA,67,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prisci2la,"-22.92172375,-43.0457402",412,Feita em 4 de setembro de 2022,0,5,Tranquilo uma paz!,"Eu fui ao Delta para ver a revoada dos guarás, que é linda, mas o Rio é muito bonito e à noite, é lindo!",NA,NA,NA,NA,NA,NA,NA,NA,24,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cris B,"41.16214295,-8.62195365",10,Feita em 13 de agosto de 2022,0,4,Revoada dos Guarás,Anda-se bastante tempo de barco para ver a revoada dos Guarás mas é fantástico. Demoramos 1h30 para ir e outro tanto para vir.,NA,NA,NA,NA,NA,NA,NA,NA,23,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keliane C,"-15.7759057,-47.79711685",183,Feita em 10 de agosto de 2022,1,5,Natureza espetacular.,"Experiência maravilhosa para quem gosta de natureza, abrangendo banho de rio, banho de mar, passeios de barco, apreciação da fauna e flora locais.
O delta do Parnaíba possui cenários exuberantes. O melhor passeio para nós foi sem
Dúvidas o da revoada dos guarás!",NA,NA,NA,NA,NA,NA,NA,NA,43,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luiz Alberto Borges da Silveira,"-25.4951166,-49.2897982",67,Feita em 28 de junho de 2022,0,5,Visita ao Delta,"Passeio maravilhoso. Infelizmente, a cidade de Parnaíba, apesar de uma população acima dos 100 mil, parece não ter estrutura para atender grupos de turismo. Chegamos no início da noite e foi muito difícil achar um local para jantar/lanchar. Quanto aos passeios, litoral, dunas, o Delta, com  a revoada dos Guarás, valem a pena.",NA,NA,NA,NA,NA,NA,NA,NA,53,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ditao123,NA,53,Feita em 26 de junho de 2022,0,5,Conhecendo os Lencois Pelo Delta do Parnaiba.,"Novidades meu povo. A partir de Setembro , 2022. Parnaiba vai receber voos da Azul linhas aereas  diretos de Campinas (Sao Paulo) , segundas, quartas , sextas e domingos, aeronaves E-195. Alem de voos diarios vindo de Sao Luis e Fortaleza, aeronaves pequenas  Cessaran.",NA,NA,NA,NA,NA,NA,NA,NA,44,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruno C,"-7.24283765,-35.90156435",2,Feita em 30 de janeiro de 2022,0,5,Experiência incrível!!!,"Um lugar quase intocado e com contato com a natureza incrível! Recomendo o passeio Revoada dos Guarás, e muito  pena!!!!",NA,NA,NA,NA,NA,NA,NA,NA,20,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renata F,"-24.03328485,-46.2818088",60,Feita em 24 de janeiro de 2022,0,5,Muito lindo!,Lugar surpeendente com vistas maravilhosas. Atendimento muito bom também. Aproveitamos bastante o local.,NA,NA,NA,NA,NA,NA,NA,NA,13,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ditao123,NA,53,Feita em 8 de novembro de 2021,0,5,Voepass esta voos diários de fortaleza e teresina para Parnaiba  a partir do dia 12 de dezembro 2021.,"Novidades pro Delta do  Parnaíba e o litoral do Piaui. Soube que a partir do 12 de dezembro, 2021. A Voepass linhas aereas vai voar de Teresina para Parnaíba e de fortaleza para Parnaíba  todos os dias.  E de Parnaíba pare Jericoacoara tres vezes na semana.  Agora vai fica mais fácil chegar  no delta do Parnaíba e Barra Grande , litoral do Piaui .",NA,NA,NA,NA,NA,NA,NA,NA,64,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,João Carlos Jr,"-3.04466205,-59.9671039",8,Feita em 25 de setembro de 2021,0,4,Lindo passeio.,Natureza e aventura. Local com riqueza de fauna e flora. Lanchas confortáveis. Guia nativo e com conhecimento do ecossistema.,NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,luis marcos R,"-22.4839136,-43.18295715",78,Feita em 20 de agosto de 2021,1,5,Espetacular,"Melhor passeio de barco que fiz no Brasil.
Lindo, emocionante, maravilhoso...
Lugares incríveis, dunas espetaculares, banho de rio, encontro do rio com o mar.
E pra fechar com chave de ouro, o alucinante por do sol com a revoada dos guarás.
Lindo demais!!!
Volto sempre",NA,NA,NA,NA,NA,NA,NA,NA,45,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suzane Q,"-15.7759057,-47.79711685",54,Feita em 14 de agosto de 2021,0,5,Paisagens lindas,"Passeio maravilhoso com uma paisagem lindíssima, tanto dos igarapés quanto do rio Parnaíba encontrando com o mar. Fizemos o passeio em um barco grande de 2 andares com a empresa Antares. Paramos em alguns pontos para tomar banho de mar e rio e andar pela dunas dos lençóis piauienses. Pretendemos voltar para visitar alguma ilha. Recomendo!",NA,NA,NA,NA,NA,NA,NA,NA,56,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maluks,"-23.6824124,-46.5952992",236,Feita em 7 de agosto de 2021,1,5,Revoada dos guaras ao por do sol,"Este passeio é imperdivel, e tem que ser feito de barco, de preferência com o piloto Didi, que é muito atencioso, e conhece em detalhes a fauna e flora da região. Peça para o piloto parar nos mangues para mostrar os caranguejos vermelhos, que são o alimento dos passaros guaras. O por do sol com a revoada dos guaras foi o espetáculo da natureza mais lindo que já vi até hoje.",NA,NA,NA,NA,NA,NA,NA,NA,71,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joaobosco2017,"-19.9027163,-43.96405015",12,Feita em 5 de agosto de 2021,1,5,Deus existe!!!,"Você tem que ter esta experiência.
Melhor do que curtir o delta é se maravilhar com os lençóis maranhenses.",NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armando Sergio C,"18.6407175,-68.4713458",5,Feita em 4 de agosto de 2021,1,5,sensacional ;,lugar deslumbrante ; vistas maravilhosas ; separe um momento na sua vida para visitar ; não vai se arrepender ;,NA,NA,NA,NA,NA,NA,NA,NA,20,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cinthia S,"-16.6958759,-49.30426735",43,Feita em 1 de agosto de 2021,0,5,Imperdivel,"Fizemos o passeio privado da Revoada dos Guarás. É imperdivel do começo ao fim. Desde percorrer o rio Parnaiba, conhecendo os mangues e sua biodiversidade como a parada nas dunas e o fechamento com chave de ouro para observar a Revoada dos Guarás.",NA,NA,NA,NA,NA,NA,NA,NA,43,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luiz Fernando,NA,3,Feita em 27 de julho de 2021,0,4,Espetáculo da natureza,"Rio caudaloso, igarapés sem fim, manguezais gigantes.
Mas o ponto alto do passeio sem dúvida foi assistir a revoada dos Guarás, ao entardecer. Espetáculo indescritível quase inacreditável!
Não vou dar spoiler! Vá e veja por si mesmo.",NA,NA,NA,NA,NA,NA,NA,NA,37,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Silvia Pérez Policarpo,"-23.6824124,-46.5952992",6,Feita em 19 de julho de 2021,0,5,Paraíso,"Um dos pontos mais fantásticos do roteiro, a revoada dos Guarás. Simplesmente magnífico. Percorremos de voadeira todo o delta, com vistas maravilhosas, locais bem preservados e os pássaros dão um espetáculo, ao por do sol, a parte. vale muito a pena.",NA,NA,NA,NA,NA,NA,NA,NA,41,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chaves493,"-7.14660885,-34.8815975",50,Feita em 5 de julho de 2021,1,5,Paraíso,"Lugar lindo. Uma paisagem inusitada e inesquecível. Destaque para a revoada dos guarás, um espetáculo único.",NA,NA,NA,NA,NA,NA,NA,NA,16,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marco O,NA,2,Feita em 29 de maio de 2021,2,5,Passeio no delta do Parnaiba  com revogada dos guarás e morro branco,"Imperdível  no delta do Parnaiba  é  o passeio a tarde para ver a revogada dos guarás,  pássaros de plumagem vermelha que vão  para uma pequena ilha no fim de tarde a fim de passar a noite!! As árvores  ficam enfeitadas de vermelho como se estivessem floridas!! Espetáculo  fantástico de beleza única. Como se isso não  bastasse o barco ainda entra pelos igarapes onde podem ser avistados macacos e até  jacarés. No caminho param em uma duna muito linda chamada Morro Branco com parada para banho e caminhada até  o cume.Fizemos com empresa Clip e com o Junior excelente piloto e guia que nos explicou tudo sobre o Delta.",NA,NA,NA,NA,NA,NA,NA,NA,108,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lu2610,"-28.001311,-50.3477272",14,Feita em 25 de maio de 2021,4,5,A natureza fornece um espetáculo,"Fizemos o passeio com a empresa MB Turismo.
Atendimento excelente. O senhor que conduzia a “voadeira” tinha muito conhecimento acerca da geografia do Rui. Almoçamos na ilha das canárias, no restaurante recanto dos pássaros, uma graça, comida muito boa, um lugar diferente. O rio é enorme, vegetação de mangue, pescadores ao longo do rio, o encontro do verde, com o rio e as dunas, é de uma beleza única. Por fim, a revoada dos guarás, aves que de tão belas, enfeitam a copa das árvores, ao ponto de acharmos que eram flores. Passeio muito diferente e mostra o quanto é lindo nosso Brasil! Super indico!",NA,NA,NA,NA,NA,NA,NA,NA,105,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fabricia p,"-15.7759057,-47.79711685",6,Feita em 26 de fevereiro de 2021,1,5,otimo,Lugar maravilhoso de visitar e tem empresas que levam até o local para passeios. Vale a pena conferir.,NA,NA,NA,NA,NA,NA,NA,NA,18,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antero G,"-5.0937396,-42.74107815",2,Feita em 23 de janeiro de 2021,0,5,Delta,"Passeio inesquecível, Natureza, tudo de Bom para quem quer conhecer o Brasil, irei Voltar,👍
O Piaui é um estado com pequeno Litoral, mais muito Bonito.",NA,NA,NA,NA,NA,NA,NA,NA,25,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert08061963,"-17.9497738,25.85499765",146,Feita em 8 de janeiro de 2021,1,5,Lindo mas o tempo tem que estar bom,"Passear de barco pelo Delta do Parnaíba é uma das melhores atividades a fazer na região. Seus 5 braços são todos diferentes entre si, mergulhar no rio é uma delícia, adentrar os igarapés com toda sua majestade e imponência é incrível, ouvir o ronco dos bugios é impressionante, acompanhar os diferentes barquinhos pescando pitu e caranguejo é instigante e, ponto máximo, ver a revoada dos guarás ao entardecer é lindo. Mas assegure-se de que o entardecer será ensolarado, pois faz toda a diferença nas cores e  na beleza dos guarás.",NA,NA,NA,NA,NA,NA,NA,NA,90,Promotor
NA,Delta Rio Parnaíba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daiane M,NA,4,Feita em 24 de outubro de 2020,2,5,Passeio lindo mas faça pacote privado.,"As paisagens são lindas! De tirar o fôlego. Mas, se puder vá de lancha privativa e pesquise muito bem antes de fechar, pois, tem empresas que prestam um serviço bem ruim.",NA,NA,NA,NA,NA,NA,NA,NA,31,Promotor
